Wavelength (nm);Optical Density;% Transmission
884;5.7297866;0.0001863
885;5.5722178;0.000267783
886;5.7207712;0.000190208
887;5.5585604;0.000276337
888;5.6879332;0.000205148
889;5.5235808;0.000299515
890;5.7129822;0.00019365
891;5.5542066;0.000279122
892;5.7078538;0.00019595
893;5.5552764;0.000278435
894;5.6774506;0.00021016
895;5.4599496;0.000346777
896;5.6187252;0.000240588
897;5.461681;0.000345397
898;5.6065456;0.000247431
899;5.5200798;0.00030194
900;5.7057482;0.000196903
901;5.5792704;0.000263469
902;5.7448782;0.000179938
903;5.5537534;0.000279413
904;5.6202732;0.000239732
905;5.488067;0.000325037
906;5.6145448;0.000242915
907;5.4275726;0.000373618
908;5.610595;0.000245135
909;5.5569366;0.000277372
910;5.6891428;0.000204577
911;5.6114285;0.000244665
912;5.75353075;0.000176388
913;5.5657775;0.000271783
914;5.71050575;0.000194758
915;5.46158725;0.000345472
916;5.4801932;0.000330984
917;5.381488;0.000415444
918;5.526186;0.000297724
919;5.4103228;0.000388756
920;5.6395534;0.000229322
921;5.5545434;0.000278905
922;5.7029198;0.000198189
923;5.576845;0.000264945
924;5.6927082;0.000202905
925;5.5033156;0.000313823
926;5.542458;0.000286775
927;5.3833804;0.000413637
928;5.5051044;0.000312533
929;5.3205604;0.000478013
930;5.4052794;0.000393297
931;5.4181258;0.000381834
932;5.5620752;0.00027411
933;5.3839496;0.000413095
934;5.5263052;0.000297642
935;5.4573758;0.000348838
936;5.4389656;0.000363944
937;5.34714125;0.000449634
938;5.47722525;0.000333254
939;5.34357375;0.000453342
940;5.3878205;0.00040943
941;5.417940667;0.000381996
942;5.45719575;0.000348983
943;5.3998385;0.000398255
944;5.48951075;0.000323958
945;5.38359125;0.000413436
946;5.3836392;0.000413391
947;5.3061398;0.000494152
948;5.455139;0.00035064
949;5.3509106;0.000445748
950;5.3930186;0.000404559
951;5.3656242;0.000430899
952;5.5281314;0.000296393
953;5.4164596;0.000383301
954;5.4915842;0.000322415
955;5.4717938;0.000337447
956;5.7694724;0.000170031
957;5.612593;0.00024401
958;5.5966262;0.000253148
959;5.5879482;0.000258257
960;5.8739092;0.000133687
961;5.6014654;0.000250343
962;5.6370856;0.000230629
963;5.6260178;0.000236582
964;5.7640766;0.000172156
965;5.4699108;0.000338914
966;5.434401;0.000367789
967;5.4192622;0.000380836
968;5.5468714;0.000283876
969;5.426848;0.000374242
970;5.476159;0.000334073
971;5.4835458;0.000328439
972;5.5412148;0.000287598
973;5.4501132;0.000354721
974;5.5096272;0.000309295
975;5.4745456;0.000335316
976;5.6201008;0.000239828
977;5.5669658;0.000271041
978;5.5314278;0.000294152
979;5.4852476;0.000327154
980;5.6497508;0.000224001
981;5.607258;0.000247026
982;5.6709024;0.000213352
983;5.6478444;0.000224986
984;5.6938528;0.00020237
985;5.58208;0.00026177
986;5.5786212;0.000263863
987;5.5358206;0.000291192
988;5.6318434;0.00023343
989;5.5365082;0.000290731
990;5.5343924;0.000292151
991;5.416342;0.000383405
992;5.4041508;0.00039432
993;5.3375936;0.000459628
994;5.3493258;0.000447378
995;5.3351426;0.000462229
996;5.4573148;0.000348887
997;5.4810386;0.00033034
998;5.5240244;0.00029921
999;5.5370702;0.000290355
1000;5.625063;0.000237103
1001;5.7348202;0.000184153
1002;5.7837682;0.000164525
1003;5.709671;0.000195132
1004;5.7219948;0.000189673
1005;5.6456992;0.0002261
1006;5.585733;0.000259577
1007;5.6362726;0.000231061
1008;5.6670632;0.000215247
1009;5.6035404;0.000249149
1010;5.620235;0.000239754
1011;5.620235;0.000239754
1012;5.5130914;0.000306838
1013;5.50268;0.000314282
1014;5.536415;0.000290794
1015;5.4871924;0.000325692
1016;5.3406924;0.00045636
1017;5.3156422;0.000483457
1018;5.3502746;0.000446401
1019;5.3609038;0.000435608
1020;5.3856586;0.000411473
1021;5.392618;0.000404932
1022;5.4581216;0.00034824
1023;5.579257;0.000263477
1024;5.5696798;0.000269352
1025;5.5296472;0.000295361
1026;5.4907044;0.000323069
1027;5.4369902;0.000365603
1028;5.3502294;0.000446448
1029;5.3803158;0.000416566
1030;5.3800652;0.000416807
1031;5.414277;0.000385233
1032;5.3905512;0.000406864
1033;5.3133788;0.000485983
1034;5.27439;0.000531631
1035;5.4614718;0.000345564
1036;5.511407;0.00030803
1037;5.6002154;0.000251064
1038;5.6850688;0.000206505
1039;5.6830722;0.000207457
1040;5.5323432;0.000293533
1041;5.573088;0.000267246
1042;5.4938234;0.000320757
1043;5.4051216;0.00039344
1044;5.3531528;0.000443453
1045;5.3549538;0.000441617
1046;5.2727462;0.000533647
1047;5.2930852;0.000509231
1048;5.3574144;0.000439122
1049;5.4581034;0.000348254
1050;5.4448198;0.000359071
1051;5.4657766;0.000342155
1052;5.4368758;0.000365699
1053;5.4138252;0.000385634
1054;5.3636396;0.000432873
1055;5.4904134;0.000323286
1056;5.508929;0.000309793
1057;5.6295952;0.000234641
1058;5.5824436;0.000261551
1059;5.5767386;0.000265009
1060;5.4463752;0.000357787
1061;5.4941618;0.000320508
1062;5.3873814;0.000409844
1063;5.4303672;0.000371221
1064;5.4610984;0.000345861
1065;5.6042488;0.000248743
1066;5.5406616;0.000287964
1067;5.6608504;0.000218348
1068;5.6849744;0.00020655
1069;5.73982;0.000182046
1070;5.5813078;0.000262236
1071;5.5312248;0.00029429
1072;5.3599916;0.000436524
1073;5.4417328;0.000361632
1074;5.4865254;0.000326193
1075;5.6450376;0.000226445
1076;5.6503914;0.00022367
1077;5.793459;0.000160894
1078;5.6672442;0.000215157
1079;5.731159;0.000185712
1080;5.578775;0.00026377
1081;5.6832494;0.000207372
1082;5.5822888;0.000261644
1083;5.6515066;0.000223097
1084;5.4657972;0.000342139
1085;5.4977916;0.00031784
1086;5.4305728;0.000371046
1087;5.4984036;0.000317392
1088;5.4000818;0.000398032
1089;5.5343216;0.000292199
1090;5.5012992;0.000315283
1091;5.5524086;0.00028028
1092;5.4690396;0.000339594
1093;5.5501294;0.000281754
1094;5.3823976;0.000414574
1095;5.3944946;0.000403186
1096;5.2822918;0.000522045
1097;5.411455;0.000387744
